J41026|U0001|C09ACCTA:0 C09SNRPC:5 C41APC:2 
J3114|USTC0001PC|C09ACCTA:0 C09SNRPC:10 
J09101|USTC0001|C09ACCTA:0 C09ACCTA:14 
J0901||C09ACCTA:0 C09411ACCT:8 
J41026|U0001|C09ACCTA:0 C09SNRPC:6 C30PC:24 C41APC:2 
J0006AS|ZJDE0001|C09ACCTA:0 C09411ACCT:3 
J4101|U0001|C09ACCTA:0 C09SNRPC:6 C30PC:24 C41APC:1 
J4101|U0001|C09ACCTA:0 C09SNRPC:5 C41APC:1 
J4101|U0001|C09ACCTA:0 C55:11 C4112ACCT:2 
J3002|USTC0002|C09ACCTA:0 C4114A:15 
J3002|USTC0001|C09ACCTA:0 C09SNRPC:6 C30PC:2 
J4116|U0004|C09ACCTA:0 C09SNRPC:6 C30PC:24 C41APC:7 
J4092|ZJDE0001|C09ACCTA:0 C55:3 
J4113|USTC0001PC|C09ACCTA:0 C09SNRPC:6 C30PC:24 C41APC:5 
J4092|ZJDE0002|C09ACCTA:0 C55:4 
J30026|USTC0001|C09ACCTA:0 C09SNRPC:6 C30PC:4 
J3002|USTC0004|C09ACCTA:0 C09SNRPC:6 C30PC:3 
J4092|ZJDE0001|C09ACCTA:0 C55:16 
J41026|U0001|C09ACCTA:0 C55:11 C4112ACCT:7 
J41025||C09ACCTA:0 C55:11 C4112ACCT:8 
J4114|U0014|C09ACCTA:0 C09SNRPC:6 C30PC:24 C41APC:6 
J42045|USTC0001PC|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:19 
J4113|USTC0001PC|C09ACCTA:0 C09SNRPC:5 C41APC:5 
J4242|USTN0001|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:2 
J41011||C09ACCTA:0 C55:11 C4112ACCT:3 
J4312|USTC0001PC|C09ACCTA:0 C09SNRPC:3 C43PA3PC:2 
J3002|USTC0005|C09ACCTA:0 C4114A:14 
J42045|USTC0001|C09ACCTA:0 C09INQ:2 
J4114|U0014|C09ACCTA:0 C09SNRPC:5 C41APC:6 
J4211|USTX0020|C09ACCTA:0 C09SNRPC:17 
J0005A|UST0003|C09ACCTA:0 C55:23 
J00105||C09ACCTA:0 C09411ACCT:2 
J4114|U0013PC2|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:9 
J4242|USTF0001|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:14 
J0005A|ZJDE0402|C09ACCTA:0 C55:22 C5501:7 
J0901||C09ACCTA:0 C04ACCT:1 C0414:24 
J4312|USTC0002PC|C09ACCTA:0 C09SNRPC:3 C43PA3PC:3 
J4116|U0004|C09ACCTA:0 C09SNRPC:5 C41APC:7 
J42045|USTC0001PC|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:7 
J4114|U0013PC|C09ACCTA:0 C09SNRPC:14 C41TXN1PC:21 
J0901A||C09ACCTA:0 C09411ACCT:7 
J4092|ZJDE0003|C09ACCTA:0 C55:18 
J4006||C09ACCTA:0 C55:9 
J4092|ZJDE0002|C09ACCTA:0 C55:17 
J3003|U0001|C09ACCTA:0 C09SNRPC:6 C30PC:14 
